ObID,Kmday,Porosity
40858,76.6723002640062,0.255
40859,5.8234166853788e-05,0.0311111111111111
40860,65.5109421603373,0.231333333333333
40861,53.5712029661661,0.24
40862,23.7855854457319,0.134444444444444
40863,NaN,NaN
40864,23.7855854457319,0.134444444444444
40865,0.00032765144135561,0.0733333333333333
40866,87.6952699087662,0.258333333333333
40867,53.9212688785559,0.24
40868,4.88032115129391e-05,0.01
40869,NaN,NaN
40870,53.5712029661661,0.24
40871,NaN,NaN
40872,NaN,NaN
40873,76.6730669908426,0.255
40874,0.0184152604900252,0.0911111111111111
40875,76.6710862955294,0.255
40876,87.6961468658499,0.258333333333333
40877,NaN,NaN
40878,87.6961468658499,0.258333333333333
40879,NaN,NaN
40880,87.6961468658499,0.258333333333333
40881,76.6395937271177,0.255
40882,NaN,NaN
40883,76.6662945023808,0.255
40884,42.2978045819649,0.230833333333333
40885,87.6961468658499,0.258333333333333
40886,0.000212006520487066,0.01
40887,53.9212688785559,0.24
40888,87.6961468658499,0.258333333333333
40889,NaN,NaN
40890,NaN,NaN
40891,76.6284179346205,0.255
40892,NaN,NaN
40893,0.0196421878686989,0.146666666666667
40894,NaN,NaN
40895,NaN,NaN
40896,53.9348407722818,0.24
40897,76.6545399050995,0.255
